Part	Country	Site	Cultural phase/ Dates	Dates	Notes on Dating	Confidence	Lower Range BC	Lower Range CE	Lower Range BP	Upper Range BC	Upper Range CE	Upper Range BP	Records	Latitude	Longtitude
Europe	Germany	Gorsleben	Pre-Roman Iron Age	200-100 BCE		Maybe	200		2150	100		2050	1 specimen	51.276111	11.182778
Europe	Germany	Gorsleben	Pre-Roman Iron Age	300-100 BCE		Maybe	300		2250	100		2050	1 specimen	51.276111	11.182778
Europe	Germany	Hochdorf, Baden-Wuerttemberg	Latène A/B	~480/450-250 BCE		No	480		2430	250		2200	171 specimens	48.025278	9.786667
Europe	Germany	Bondorf, Baden-Württemberg	La Tène A/B	~480/450-280 BCE		Maybe	480		2430	280		2230	3 specimens	48.516667	8.833333
Europe	Germany	Weltenburg	La Tène A	~480/450-380 BCE		Maybe	480		2430	380		2330	4 specimens	48.898889	11.819722
Europe	Germany	Ehrenbürg bei Forchheim	La Tène A	~480/450-380 BCE		Maybe	480		2430	380		2330	14 specimens	49.716667	11.15
Europe	Germany	Neckargartach, Baden-Württemberg, Erdwerk II) 	Hallstatt D3/Latène A	~500-380 BCE		Maybe	500		2450	380		2330	1 specimen	49.169	9.198
Europe	Germany	Boyneburg near Sontra-Wichmannshausen, Hesse	Late Hallstatt and La Tène A	~600-380 BCE		No	600		2550	380		2330	7 specimens	51.101841	10.010051
Europe	Germany	Wallerfangen 	Hallstatt C/D	~600-480/450 BCE		Maybe	600		2550	450		2400	1 specimen	49.33125	6.7155
Europe	Germany	Breisach-Münsterberg	Hallstatt D	~600 - 480/450 BC 		Maybe	600 		2550	450		2400	4 specimens	48.03484	7.58361
Europe	Germany	Hemmoor II	Roman Iron Age	~200-250 CE		Maybe		200	1750		250	1700	1 specimen	53.7025	9.139444
Europe	Germany	Leuna	Roman Iron Age	~300 CE		Maybe		300	1650		300	1650	4 specimens	51.316667	12.016667
Europe	Great Britain	Mill Hill	late Middle Iron Age	 ~200-150 BCE		Maybe	 200		2150	150		2100	Burial	51.61729	-0.22139
Europe	Great Britain	Micheldever Wood	Middle Iron Age	~300-100 BCE		Maybe	300		2250	100		2050	4 specimens	51.1347	-1.24367625
Europe	Great Britain	East Kent Access Road 	Middle Iron Age	 363-108 cal BCE	Directly RCD	Yes	363		2313	108		2058	3 specimens for the site	51.331205	1.354864
Europe	Great Britain	East Kent Access Road 	Middle Iron Age	376-171 cal BCE	Directly RCD	Yes	376		2326	171		2121	3 specimens for the site	51.331205	1.354864
Europe	Great Britain	Weston Down Cottages 	Middle Iron Age 	c. 388-206 cal BCE	Directly RCD	Yes	388		2338	206		2156	1 ABG	51.157155	-1.294224
